UID          PID    PPID  C STIME TTY          TIME CMD
viraj       1714    1610  0 12:03 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
viraj       1731    1610  0 12:03 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
viraj       1744    1610  0 12:03 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
viraj       1756    1610  0 12:03 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
viraj       1769    1610  0 12:03 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
viraj       1775    1610  0 12:03 ?        00:00:00 /usr/libexec/goa-daemon
viraj       1776    1744  0 12:03 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
viraj       1781    1610  3 12:03 ?        00:00:21 /usr/bin/gnome-shell
viraj       1788    1776  0 12:03 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
viraj       1797    1610  0 12:03 ?        00:00:00 /usr/libexec/goa-identity-service
viraj       1801    1610  0 12:03 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
viraj       1807    1610  0 12:03 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
viraj       1815    1610  0 12:03 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
viraj       1872    1621  0 12:03 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
viraj       1874    1610  0 12:03 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
viraj       1878    1610  0 12:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal
viraj       1885    1610  0 12:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
viraj       1888    1610  0 12:03 ?        00:00:00 /usr/libexec/evolution-source-registry
viraj       1898    1610  0 12:03 ?        00:00:00 /usr/libexec/dconf-service
viraj       1901    1610  0 12:03 ?        00:00:00 /usr/libexec/gvfsd-metadata
viraj       1910    1610  0 12:03 ?        00:00:00 /usr/libexec/evolution-calendar-factory
viraj       1924    1610  0 12:03 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
viraj       1933    1648  0 12:03 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
viraj       1944    1610  0 12:03 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
viraj       1950    1610  0 12:03 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
viraj       1952    1610  0 12:03 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
viraj       1953    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-a11y-settings
viraj       1954    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-color
viraj       1955    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-datetime
viraj       1956    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-housekeeping
viraj       1966    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-keyboard
viraj       1967    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-media-keys
viraj       1969    1952  0 12:03 ?        00:00:00 /usr/bin/ibus-daemon --panel disable
viraj       1971    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-power
viraj       1972    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-print-notifications
viraj       1976    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-rfkill
viraj       1980    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
viraj       1981    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-sharing
viraj       1989    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-smartcard
viraj       1994    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-sound
viraj       2001    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-wacom
viraj       2028    1744  0 12:03 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
viraj       2043    1969  0 12:03 ?        00:00:00 /usr/libexec/ibus-memconf
viraj       2046    1969  0 12:03 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
viraj       2048    1744  0 12:03 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
viraj       2051    1610  0 12:03 ?        00:00:00 /usr/libexec/ibus-portal
viraj       2095    1610  0 12:03 ?        00:00:00 /usr/libexec/gsd-printer
viraj       2136    1969  0 12:03 ?        00:00:00 /usr/libexec/ibus-engine-simple
viraj       2161    1610  0 12:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
viraj       2194    1610  0 12:03 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
viraj       2222    1781  0 12:03 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:800:1:27:0:70:0:0
viraj       2308    1610  0 12:04 ?        00:00:02 /usr/libexec/gnome-terminal-server
viraj       2327    2308  0 12:04 pts/0    00:00:00 bash
viraj       2350    1744  0 12:04 ?        00:00:00 update-notifier
viraj       2601    1781  0 12:09 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.UTGXH2 -listen 4 -listen 5 -displayfd 6 -initfd 7
viraj       2606    1610  0 12:09 ?        00:00:00 /usr/libexec/gsd-xsettings
viraj       2632    1610  0 12:09 ?        00:00:00 /usr/libexec/ibus-x11
root        2837       2  0 12:10 ?        00:00:00 [kworker/0:0-cgroup_destroy]
root        2873       2  0 12:14 ?        00:00:00 [kworker/u2:0-events_power_efficient]
viraj       3104    2327  0 12:15 pts/0    00:00:00 ps -ef
